AGO	io, kion oni faras
SINO	homa brusto
SIRENO	marvirino kun fiŝa vosto
SOJLO	ŝtono aŭ trabo de enireja fundo
SOPIRI	ĝeme elspiri
SULKO	kavaĵeto
SVINGI	moveti ion rapide ĉiudirekten
ŜAŬMO	blankaĵo sur akvo aŭ alia fluaĵo
ŜELO	malmola ekstera krusto
TEMPESTO	ŝtormo
TRAJTO	karakterizaĵo
TUKO	peco de teksaĵo
VASTA	granddimensia
VELO	granda tuko fiksita por kapti la venton
VEZIKO	globeto
ALARMO	signalvoko
ASEKURI	kontrakti kontraŭ eventuala perdo
AUDIENCO	oficiala akcepto
BANDO	araĉo
BOMBO	eksplodaĵo
BOVO	kampara besto, kies ino donas lakton
DEMONO	diablo
EKSTERMI	tute detrui, neniigi
ELEFANTO	plej granda landbesto
FLOKO	malpeza peceto
FOJNO	sekigita herbo
FORMIKO	speco de insekto,tre laborema
GAJNI	akiri profite
GRENO	kreskaĵo, el kiu oni faras panon
GURDO	muzikilo, kiun oni funkciigas per turnilo
INCENDIO	brulego
INDULGI	trakti pardoneme
KAĈO	manĝaĵo el faruno, kun lakto aŭ akvo
KAPRO	barbhava kampara besto
KOMFORTO	ĉio, kio agrabligas la vivon
LAKTO	blanka fluaĵo de bovino
LAMENTI	plendadi ĝemante
MUŜO	fluginsekto
PLEDI	prezenti sian aferon antaŭ juĝisto
LOTI	decidi ion laŭ hazardo
LINO	kreskaĵo, el kiu oni faras tolon
PORKO	besto, kiun oni grasigas por manĝi
PROFESIO	okupo, per kiu oni vivtenas sin
PROVIANTO	provizoj de manĝaĵo
PRUNO	speco de frukto
PULO	parazita sudinsekto
SAKO	ujo el maldelikata ŝtofo
SEKALO	speco de greno
SEMI	disĵeti grajnojn sur la teron
STALO	bestloĝejo
STERKO	io uzata por plifekundigi la teron
SVARMI	amase kunestadi kaj moviĝi
SVATI	sin proponi al iu kiel edz(in)on
TABAKO	sekigitaj folioj, kiujn oni fumas
TASKO	difinita laboro
TERNI	brue kaj subite elspiri tra la nazo
ADEKVATA	egalvalora
ADEPTO	homo, kiu akceptis iun doktrinon
AGNOSKI	rekoni
AKTUALA	nuntempa
ANALIZI	esplori detale ion
APLIKI	uzi por speciala celo
ARGUMENTO	rezona pruvo
ARKAISMO	io malnoviĝinta
ASOCIO	grava societo
ATOMO	plej malgranda materiero
