C.eo content.tsv
Level	Esperanto	eo	en-us	Grupo	Alternativoj	Pronoco
level	ŝanĝi	ŝanĝi	to change, to turn	grupo	alternativoj	prononco
level	renkonti	renkonti	to meet, to encounter, to come accross	grupo	alternativoj	prononco
level	uzi	uzi	to use	grupo	alternativoj	prononco
level	timi	timi	to fear, to be afraid of	grupo	alternativoj	prononco
level	vera	vera	real, true	grupo	alternativoj	prononco
level	sola	sola	alone, only, sole, solitary	grupo	alternativoj	prononco
level	paco	paco	peace, a peace	grupo	alternativoj	prononco
level	rakonti	rakonti	to narrate, to tell, to relate	grupo	alternativoj	prononco
level	koloro	koloro	color, a color	grupo	alternativoj	prononco
level	pura	pura	clean, pure	grupo	alternativoj	prononco
level	aŭdi	aŭdi	to hear	grupo	alternativoj	prononco
level	punkto	punkto	a point, a dot, a spot	grupo	alternativoj	prononco
level	buŝo	buŝo	a mouth	grupo	alternativoj	prononco
level	araneo	araneo	a spider	grupo	alternativoj	prononco
level	serĉi	serĉi	to search, to look for, to seek	grupo	alternativoj	prononco
level	letero	letero	a letter	grupo	alternativoj	prononco
level	frua	frua	early, premature	grupo	alternativoj	prononco
level	grava	grava	important, serious	grupo	alternativoj	prononco
level	nigra	nigra	black	grupo	alternativoj	prononco
level	trankvila	trankvila	tranquil, calm	grupo	alternativoj	prononco
level	flanko	flanko	a side	grupo	alternativoj	prononco
level	libroj	libroj	books	grupo	alternativoj	prononco
level	kuri	kuri	to run	grupo	alternativoj	prononco
level	dolĉa	dolĉa	sweet	grupo	alternativoj	prononco
level	popolo	popolo	people, folk, nation	grupo	alternativoj	prononco
level	hundo	hundo	a dog	grupo	alternativoj	prononco
level	fenestro	fenestro	a window	grupo	alternativoj	prononco
level	aĝo	aĝo	age (years old)	grupo	alternativoj	prononco
level	libron	libron	a book (objective, accusative)	grupo	alternativoj	prononco
level	fingro	fingro	a finger	grupo	alternativoj	prononco
level	resto	resto	remainder, rest, staying	grupo	alternativoj	prononco
level	dento	dento	a tooth	grupo	alternativoj	prononco
level	kuiri	kuiri	to cook	grupo	alternativoj	prononco
level	lavi	lavi	to wash	grupo	alternativoj	prononco
level	mia	mia	my	grupo	alternativoj	prononco
level	piedo	piedo	a foot, a paw	grupo	alternativoj	prononco
level	aŭskulti	aŭskulti	to listen	grupo	alternativoj	prononco
level	tablo	tablo	a table	grupo	alternativoj	prononco
level	fali	fali	to fall, to drop	grupo	alternativoj	prononco
level	familio	familio	a family	grupo	alternativoj	prononco
level	via	via	your	grupo	alternativoj	prononco
level	vizaĝo	vizaĝo	a face	grupo	alternativoj	prononco
level	ĝusta	ĝusta	right (correct), exact, proper	grupo	alternativoj	prononco
level	nokto	nokto	a night	grupo	alternativoj	prononco
level	mezo	mezo	a middle, average, mean	grupo	alternativoj	prononco
level	historio	historio	history, a history	grupo	alternativoj	prononco
level	interesi	interesi	to interest	grupo	alternativoj	prononco
level	administri	administri	to manage, to administer	grupo	alternativoj	prononco
level	aero	aero	air, an air (gas)	grupo	alternativoj	prononco
level	ĝia	ĝia	its	grupo	alternativoj	prononco
level	maro	maro	a sea	grupo	alternativoj	prononco
level	fakto	fakto	a fact	grupo	alternativoj	prononco
level	lasi	lasi	to leave, to release, to allow, to let	grupo	alternativoj	prononco
level	besto	besto	an animal, a beast	grupo	alternativoj	prononco
level	gvidi	gvidi	to lead, to guide	grupo	alternativoj	prononco
level	avo	avo	a grandfather	grupo	alternativoj	prononco
level	afabla	afabla	affable, friendly, kind, amiable	grupo	alternativoj	prononco
level	ilia	ilia	their	grupo	alternativoj	prononco
level	korpo	korpo	a body	grupo	alternativoj	prononco
level	pordo	pordo	a door, a gate	grupo	alternativoj	prononco
level	forgesi	forgesi	to forget	grupo	alternativoj	prononco
level	kafo	kafo	coffee, a coffee	grupo	alternativoj	prononco
level	brui	brui	to make noise	grupo	alternativoj	prononco
level	brili	brili	to shine	grupo	alternativoj	prononco
level	gazeto	gazeto	a magazine, a gazette, a periodical (=magazino)	grupo	alternativoj	prononco
level	okulo	okulo	an eye	grupo	alternativoj	prononco
level	servi	servi	to serve	grupo	alternativoj	prononco
level	vento	vento	wind, a wind	grupo	alternativoj	prononco
level	ludi	ludi	to play	grupo	alternativoj	prononco
level	haro	haro	a hair	grupo	alternativoj	prononco
level	arbo	arbo	a tree	grupo	alternativoj	prononco
level	ŝia	ŝia	her	grupo	alternativoj	prononco
level	lia	lia	his	grupo	alternativoj	prononco
